cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
8,2201600,1300500000,2133000000,5,16.14113593,32.52727723,46
8,2201600,1300500000,3199000000,5,14.80366755,30.94775367,46
8,2201600,1300500000,665600000,5,19.23747683,42.45124793,46
6,2201600,1236750000,3199000000,5,14.8682487,30.09936357,46
8,2201600,1236750000,3199000000,5,14.87866855,29.93332863,46
12,2201600,1236750000,2133000000,5,16.2328279,32.65552855,46
2,2201600,1134750000,2133000000,5,18.58658195,37.15630507,46
8,2201600,1032750000,2133000000,5,16.23748636,32.72737312,46
10,2201600,1032750000,2133000000,5,16.26930428,32.77110124,46
2,2201600,930750000,2133000000,5,18.62372303,37.14779115,46
10,2201600,930750000,2133000000,5,16.34822583,32.76357937,46
4,2201600,828750000,2133000000,5,16.45384455,34.24145365,46
8,2201600,828750000,2133000000,5,16.26319432,32.79921651,46
4,2201600,726750000,2133000000,5,16.46214509,34.25238514,46
2,576000,1300500000,665600000,4,22.14445877,47.43396068,47
12,729600,1300500000,3199000000,4,38.76824641,80.86809421,47
4,729600,1236750000,665600000,4,42.79881334,89.26449084,47
6,729600,1236750000,665600000,4,41.77671933,85.99397063,47
10,883200,1300500000,2133000000,4,33.02730227,68.4713161,47
2,883200,1236750000,665600000,4,43.82527947,92.47451878,47
2,883200,1032750000,665600000,4,44.1262536,92.06655121,47
2,1036800,1300500000,2133000000,4,34.01137304,71.93956399,47
6,1036800,1300500000,665600000,4,31.96186996,67.54101062,47
8,1036800,1236750000,2133000000,4,29.34141469,60.0139873,47
8,1036800,1032750000,665600000,4,32.11729598,67.01246142,47
10,1190400,1300500000,665600000,4,29.12265015,61.01262736,47
6,1190400,1032750000,2133000000,4,25.89944863,53.10695767,47
12,1190400,1032750000,3199000000,4,25.38349271,52.16132307,47
12,1344000,1300500000,3199000000,4,22.9678576,47.22296643,47
6,1344000,1236750000,665600000,4,27.07674265,56.72931886,47
8,1344000,1236750000,3199000000,4,22.94775486,47.2158637,47
10,1344000,1236750000,3199000000,4,22.78407621,47.00209427,47
2,1344000,1134750000,3199000000,4,26.41934156,54.59249377,47
12,1344000,1134750000,665600000,4,27.02325583,57.92627192,47
6,1344000,930750000,2133000000,4,23.38798594,49.41871333,47
8,1497600,1300500000,2133000000,4,21.89840007,45.17295218,47
2,1497600,1236750000,665600000,4,30.55510926,63.9883461,47
4,1497600,1236750000,3199000000,4,20.99131536,44.10240388,47
6,1497600,1236750000,2133000000,4,20.9889369,43.43041253,47
2,1497600,828750000,665600000,4,31.18907309,63.79126477,47
8,1497600,726750000,3199000000,4,20.69786382,42.79363108,47
6,1651200,1300500000,3199000000,4,14.92473173,31.37915969,47
8,1651200,1300500000,665600000,4,22.86755776,49.78101921,47
10,1651200,1134750000,665600000,4,23.43853998,50.54611158,47
8,1651200,930750000,2133000000,4,19.9783268,41.2192862,47
12,1651200,828750000,2133000000,4,19.83843136,40.85130858,47
2,1804800,1300500000,3199000000,4,19.36351037,39.88881445,47
8,1804800,1300500000,3199000000,4,17.21612906,35.65779495,47
8,1804800,1300500000,665600000,4,21.64371347,47.41485691,47
12,1804800,1300500000,665600000,4,21.73575974,47.79029822,47
8,1804800,1236750000,3199000000,4,17.26891065,35.86167169,47
8,1804800,1236750000,665600000,4,21.90163732,47.78872848,47
10,1804800,1236750000,665600000,4,21.90877128,46.74673247,47
12,1804800,1236750000,3199000000,4,17.14935112,35.85100055,47
4,1804800,1134750000,3199000000,4,17.52586389,36.22690725,47
10,1804800,1134750000,3199000000,4,17.1682446,35.71181655,47
2,1804800,1032750000,3199000000,4,19.468117,40.07886505,47
10,1804800,1032750000,665600000,4,21.76555634,47.65269351,47
8,1958400,1300500000,3199000000,4,16.11742949,33.71179128,47
12,1958400,1300500000,665600000,4,20.38800168,44.80702639,47
2,1958400,1236750000,665600000,4,24.6371305,51.62610555,47
8,1958400,1236750000,3199000000,4,15.99737,33.54264379,47
10,1958400,1236750000,665600000,4,20.5523839,45.08299732,47
12,1958400,1236750000,665600000,4,20.64976907,45.18736076,47
2,1958400,1134750000,2133000000,4,19.77105403,39.53207898,47
2,1958400,1134750000,665600000,4,24.27132916,51.64941764,47
10,1958400,1134750000,665600000,4,20.59024429,45.1864872,47
2,1958400,1032750000,2133000000,4,19.9081316,39.87582374,47
4,1958400,1032750000,3199000000,4,16.32452941,33.82925296,47
10,1958400,1032750000,665600000,4,20.48091292,45.92070103,47
12,1958400,1032750000,3199000000,4,16.27025986,33.68616414,47
6,1958400,930750000,665600000,4,20.59374166,45.05552101,47
8,1958400,930750000,3199000000,4,15.98727489,33.37460947,47
8,1958400,930750000,665600000,4,20.64413071,45.44530034,47
8,1958400,828750000,3199000000,4,15.97082472,33.5250361,47
12,1958400,828750000,2133000000,4,17.51802349,36.33843112,47
12,1958400,828750000,3199000000,4,16.00471377,33.57281089,47
8,2112000,1300500000,665600000,4,19.29976726,43.60275102,47
2,2112000,1236750000,3199000000,4,16.56670332,34.72173691,47
6,2112000,930750000,2133000000,4,16.34469795,34.02781415,47
8,2112000,930750000,2133000000,4,16.4226687,33.95079899,47
4,2201600,1300500000,665600000,4,19.43766689,42.83738017,47
2,2201600,1236750000,665600000,4,22.46535611,48.15972161,47
6,2201600,1236750000,665600000,4,19.57353592,43.09100723,47
12,2201600,1134750000,665600000,4,19.51453805,43.13171601,47
8,2201600,930750000,3199000000,4,15.01039481,30.39871192,47
2,2201600,828750000,2133000000,4,18.53593826,37.41865802,47
10,2201600,828750000,3199000000,4,14.98651695,31.28928614,47
6,268800,1300500000,665600000,3,46.98312497,103.6167471,48
12,422400,1300500000,665600000,3,65.09348917,137.397212,48
2,576000,1134750000,665600000,3,65.82502103,138.5884428,48
6,729600,1236750000,3199000000,3,36.48504305,77.74689794,48
2,729600,1134750000,665600000,3,52.98539352,110.5743272,48
8,883200,1300500000,3199000000,3,30.2124939,66.30457544,48
12,1036800,1300500000,204000000,3,43.8487227,104.1103218,48
12,1036800,1236750000,665600000,3,30.78776121,66.83494496,48
2,1190400,1300500000,665600000,3,34.51053047,72.18747449,48
4,1190400,1300500000,665600000,3,29.42190242,62.87871456,48
4,1190400,1236750000,2133000000,3,25.9219501,55.61939287,48
4,1190400,930750000,2133000000,3,24.82968593,54.18673706,48
10,1190400,828750000,3199000000,3,24.31776428,52.21660376,48
8,1344000,1300500000,3199000000,3,21.73408628,47.12574959,48
6,1344000,1236750000,2133000000,3,22.2353797,48.03240514,48
10,1344000,1134750000,3199000000,3,21.78162837,47.13995528,48
8,1344000,930750000,2133000000,3,22.24144983,48.00579405,48
8,1497600,1300500000,665600000,3,24.23221302,52.4344418,48
10,1497600,1300500000,665600000,3,24.19719911,52.30168438,48
12,1497600,1300500000,2133000000,3,20.80944729,44.21640348,48
4,1497600,1236750000,665600000,3,24.63784623,53.46478128,48
10,1497600,1236750000,2133000000,3,20.92733407,44.1818912,48
10,1497600,1236750000,665600000,3,24.22515059,52.44728899,48
6,1497600,1134750000,3199000000,3,19.54923582,41.52359319,48
4,1497600,1032750000,3199000000,3,19.64996266,42.74503064,48
10,1497600,1032750000,665600000,3,24.22186732,52.28845263,48
4,1497600,930750000,665600000,3,24.73138475,53.61951327,48
6,1497600,828750000,3199000000,3,19.71166134,41.77045178,48
4,1497600,726750000,3199000000,3,19.83266807,43.13032126,48
2,1651200,1300500000,2133000000,3,17.17528605,35.47272897,48
2,1651200,1300500000,3199000000,3,15.55000019,32.45407462,48
12,1651200,1300500000,3199000000,3,18.34838939,38.97366619,48
2,1651200,1236750000,665600000,3,27.26183939,57.65240335,48
6,1651200,1236750000,2133000000,3,18.70953393,39.91919971,48
12,1651200,1236750000,3199000000,3,18.23505902,38.98797941,48
4,1651200,1134750000,665600000,3,22.42138863,51.12048626,48
12,1651200,1134750000,3199000000,3,18.29813242,39.1215415,48
10,1651200,1032750000,2133000000,3,18.8675878,40.18505335,48
8,1651200,828750000,2133000000,3,18.77575231,39.96424937,48
12,1651200,828750000,3199000000,3,18.37984681,39.21651268,48
4,1804800,1300500000,3199000000,3,17.38272786,35.94958115,48
8,1804800,1300500000,2133000000,3,17.4447515,36.37755847,48
6,1804800,1236750000,665600000,3,20.97929478,45.81471896,48
12,1804800,1236750000,2133000000,3,17.63002968,37.57408643,48
8,1804800,1134750000,665600000,3,20.68973541,46.64847684,48
10,1804800,1134750000,665600000,3,20.61034131,46.45349932,48
6,1804800,1032750000,665600000,3,20.70691204,46.69799924,48
10,1804800,1032750000,3199000000,3,17.27186227,35.89903355,48
4,1804800,930750000,2133000000,3,17.84370065,37.99591756,48
10,1804800,930750000,665600000,3,20.67127538,46.58024168,48
10,1958400,1300500000,3199000000,3,14.85065937,31.11018109,48
2,1958400,1236750000,2133000000,3,18.52129006,39.46009278,48
6,1958400,1236750000,665600000,3,19.41609287,44.09605885,48
8,1958400,1236750000,2133000000,3,16.3630147,35.07035685,48
6,1958400,1134750000,665600000,3,19.55216599,44.25931525,48
6,1958400,1032750000,2133000000,3,16.39220381,34.08136892,48
8,1958400,1032750000,3199000000,3,16.12780833,33.73345447,48
10,1958400,930750000,3199000000,3,15.99386501,33.39669156,48
10,2112000,1236750000,2133000000,3,15.34791636,33.04156613,48
10,2112000,624750000,3199000000,3,15.02191973,33.49211502,48
2,2201600,1300500000,204000000,3,69.33397841,124.7789979,48
6,2201600,1300500000,2133000000,3,15.11125374,31.51486945,48
10,2201600,1300500000,2133000000,3,15.00793195,31.47197127,48
12,2201600,1300500000,2133000000,3,15.15341091,31.58781195,48
2,2201600,1236750000,2133000000,3,17.34362268,35.76958394,48
4,2201600,1236750000,2133000000,3,15.27454209,31.87753224,48
8,2201600,1236750000,665600000,3,18.24222946,41.53543258,48
4,2201600,1134750000,2133000000,3,15.43156886,31.96617675,48
10,2201600,1134750000,665600000,3,18.17875791,41.57179523,48
6,2201600,1032750000,2133000000,3,15.1714344,31.70111895,48
4,2201600,930750000,2133000000,3,15.41234493,33.16898227,48
6,2201600,930750000,665600000,3,18.24783087,41.75858617,48
6,2201600,828750000,665600000,3,18.26528096,41.85688972,48
6,422400,1300500000,204000000,2,53.22433782,130.5232208,49
8,576000,1300500000,665600000,2,47.01259542,102.9480295,49
10,576000,1300500000,204000000,2,50.62126303,123.3997767,49
6,576000,1236750000,665600000,2,46.62204599,101.8792927,49
8,576000,1236750000,665600000,2,47.65517545,103.7857461,49
8,576000,930750000,665600000,2,47.7316165,103.633811,49
10,729600,1236750000,665600000,2,39.03059435,84.0672431,49
12,729600,1134750000,665600000,2,38.90097213,83.99081779,49
6,883200,1300500000,2133000000,2,30.74653006,67.28102684,49
8,1036800,1300500000,665600000,2,30.47653604,66.24658775,49
2,1036800,1134750000,665600000,2,37.20527768,79.97664165,49
4,1036800,1134750000,665600000,2,29.94960666,67.22861791,49
2,1036800,1032750000,665600000,2,37.38834,80.00019932,49
6,1190400,1300500000,3199000000,2,23.05690885,50.76284218,49
6,1190400,1300500000,665600000,2,26.79052329,59.83117557,49
8,1190400,1300500000,204000000,2,39.29601264,96.75265336,49
12,1190400,1300500000,204000000,2,39.18776608,95.9788456,49
4,1190400,1236750000,3199000000,2,23.45360017,51.41040373,49
8,1190400,1236750000,2133000000,2,24.5974946,52.97243881,49
8,1190400,1236750000,3199000000,2,23.36270428,50.06193471,49
6,1190400,1134750000,665600000,2,26.14570951,59.79130769,49
4,1190400,1032750000,665600000,2,28.57235646,62.07303309,49
10,1190400,1032750000,665600000,2,26.66517019,59.83402181,49
4,1344000,1300500000,2133000000,2,22.17278337,49.29394579,49
12,1344000,1300500000,2133000000,2,22.36240125,48.26874208,49
2,1344000,1032750000,2133000000,2,25.88137674,56.47696614,49
8,1344000,1032750000,3199000000,2,21.80745387,47.2442534,49
8,1344000,624750000,3199000000,2,21.78690696,46.04769659,49
4,1497600,1300500000,665600000,2,23.1412847,52.65536308,49
8,1497600,1236750000,3199000000,2,19.42099881,41.59265256,49
10,1497600,1236750000,3199000000,2,19.40082884,41.43218279,49
12,1497600,1236750000,665600000,2,23.25434232,51.59166241,49
2,1497600,1032750000,665600000,2,27.99734211,61.1510849,49
10,1497600,1032750000,2133000000,2,19.9029603,43.33643508,49
6,1497600,930750000,2133000000,2,19.88504481,42.30711937,49
4,1497600,828750000,3199000000,2,18.57003784,41.86781478,49
4,1651200,1300500000,2133000000,2,18.71536183,41.26056361,49
4,1651200,1300500000,665600000,2,22.96554542,50.00291896,49
8,1651200,1300500000,3199000000,2,17.1159811,37.78963614,49
