powermode,bs,observed_time,predicted_time,observed_power,predicted_power
12_1344000_726750000_3199000000,1,98.43204879760742,185.373,32.094,33.701046
4_1344000_930750000_665600000,1,241.75513458251956,1153.5237,21.778,29.264992
4_1344000_930750000_2133000000,1,84.50595092773438,550.85425,43.333,31.945036
4_1344000_930750000_3199000000,1,87.64368057250977,327.49854,36.4045,35.868637
8_1344000_930750000_665600000,1,231.7780303955078,1102.6765,22.179,31.044798
8_1344000_930750000_2133000000,1,92.20774459838869,483.9223,33.215,33.910267
8_1344000_930750000_3199000000,1,86.46763229370117,229.22513,37.006,37.4673
12_1344000_930750000_665600000,1,224.98407745361328,1468.5143,22.38,35.81736
12_1344000_930750000_2133000000,1,98.37278366088869,752.63904,32.614,38.85374
12_1344000_930750000_3199000000,1,89.42652893066406,375.91757,37.608,41.635803
4_1344000_1134750000_665600000,1,226.1846389770508,1381.6035,24.285,36.184464
4_1344000_1134750000_2133000000,1,80.17049407958984,769.46985,44.438,39.99865
4_1344000_1134750000_3199000000,1,69.47945785522461,475.6998,46.331,43.85457
8_1344000_1134750000_665600000,1,230.95201873779297,1371.3608,24.285,38.566418
8_1344000_1134750000_2133000000,1,83.29584121704102,739.125,39.025,41.99663
8_1344000_1134750000_3199000000,1,68.14575958251953,411.46542,46.331,45.725746
12_1344000_1134750000_665600000,1,230.05587005615237,1731.8834,24.288,43.354683
12_1344000_1134750000_2133000000,1,82.48499298095703,1007.16846,39.944,46.59764
12_1344000_1134750000_3199000000,1,70.60758209228516,594.4763,44.826,49.49151
4_1344000_1300500000_665600000,1,222.7178726196289,1585.8873,26.791,42.368515
4_1344000_1300500000_2133000000,1,79.6440315246582,952.07007,42.331,46.492336
4_1344000_1300500000_3199000000,1,65.67404556274414,607.219,52.345,50.372704
8_1344000_1300500000_665600000,1,223.0817108154297,1589.0204,27.293,44.9103
8_1344000_1300500000_2133000000,1,79.74544143676758,946.7468,44.538,48.584076
8_1344000_1300500000_3199000000,1,67.03468704223633,582.376,52.839,52.295364
12_1344000_1300500000_665600000,1,224.5030212402344,1934.7565,26.795,49.61294
12_1344000_1300500000_2133000000,1,79.9993896484375,1216.4764,43.528,52.91169
12_1344000_1300500000_3199000000,1,78.51518630981445,785.17487,50.247,55.84169
