observed_time,observed_power,powermode,predicted_time,predicted_power
286.05320739746094,21.481,8_1958400_318750000_3199000000,282.27374,21.919033
375.2954406738281,18.261,8_1958400_318750000_665600000,366.12,17.778526
775.7350769042969,16.555,8_1958400_114750000_2133000000,761.97595,16.787886
772.5258178710938,17.0675,8_1958400_114750000_3199000000,759.40546,17.67972
783.3727111816406,15.6505,8_1958400_114750000_665600000,773.3066,15.5818815
117.89230346679688,37.811,8_2201600_1300500000_2133000000,136.46136,36.45099
97.0578842163086,42.832,8_2201600_1300500000_3199000000,116.52246,41.50081
270.86387634277344,27.394,8_2201600_1300500000_665600000,258.98328,27.830618
123.26153564453124,34.602,8_2201600_1134750000_2133000000,145.73279,33.40196
104.03153610229492,39.1,8_2201600_1134750000_3199000000,120.90878,38.328285
276.41725158691406,24.9855,8_2201600_1134750000_665600000,275.75705,25.287695
134.8043212890625,30.9865,8_2201600_930750000_2133000000,157.68315,29.825836
113.95441818237305,34.196,8_2201600_930750000_3199000000,130.51068,34.310917
282.02272033691406,22.881,8_2201600_930750000_665600000,278.60193,22.711716
153.11587524414062,27.283,8_2201600_726750000_2133000000,159.47194,26.629704
138.74256134033203,29.892,8_2201600_726750000_3199000000,149.01405,30.138657
294.4349670410156,21.177,8_2201600_726750000_665600000,286.27936,20.87169
187.6854553222656,24.279,8_2201600_522750000_2133000000,194.84653,23.871254
181.6429748535156,25.8825,8_2201600_522750000_3199000000,187.23717,26.398336
318.9184265136719,20.169,8_2201600_522750000_665600000,313.75504,19.521086
291.4951171875,20.881,8_2201600_318750000_2133000000,287.18274,20.753065
285.2875061035156,22.287,8_2201600_318750000_3199000000,284.82562,22.504719
374.5039825439453,19.064,8_2201600_318750000_665600000,364.5226,18.241163
775.9058532714844,17.007,8_2201600_114750000_2133000000,758.99084,17.343443
773.1661987304688,17.865,8_2201600_114750000_3199000000,742.2896,18.30197
783.2975463867188,16.153,8_2201600_114750000_665600000,772.6395,15.925758
307.46681213378906,22.574,12_422400_1300500000_2133000000,292.4948,23.776606
299.2483215332031,23.979,12_422400_1300500000_3199000000,286.25708,25.95819
326.2328338623047,22.878,12_422400_1300500000_665600000,341.53333,22.099438
290.33482360839844,21.867,12_422400_1134750000_2133000000,292.4701,22.442156
285.5877227783203,22.57,12_422400_1134750000_3199000000,282.4246,24.063633
319.8900146484375,21.4685,12_422400_1134750000_665600000,334.61224,21.09951
314.15452575683594,20.164,12_422400_930750000_2133000000,318.93915,20.988838
308.3251647949219,20.469,12_422400_930750000_3199000000,279.73138,22.312542
328.44512939453125,19.665,12_422400_930750000_665600000,324.79987,19.76157
301.8272399902344,19.061,12_422400_726750000_2133000000,300.32095,19.933517
312.1585235595703,19.7655,12_422400_726750000_3199000000,277.63275,21.033997
336.0897216796875,18.362,12_422400_726750000_665600000,322.14392,18.639183
304.94342041015625,18.463,12_422400_522750000_2133000000,280.68832,18.95342
301.3095092773437,19.768,12_422400_522750000_3199000000,283.59528,20.11821
348.2911376953125,17.46,12_422400_522750000_665600000,328.88617,17.62068
340.9998474121094,17.973,12_422400_318750000_2133000000,334.84418,17.789156
325.2804260253906,19.479,12_422400_318750000_3199000000,317.44672,18.948217
403.6173553466797,17.1135,12_422400_318750000_665600000,398.03156,16.71745
796.4032287597656,15.353,12_422400_114750000_2133000000,773.1263,16.219095
792.0742797851562,16.055,12_422400_114750000_3199000000,770.82104,16.541443
805.3270874023438,14.45,12_422400_114750000_665600000,789.0843,15.167235
199.82062530517572,26.784,12_729600_1300500000_2133000000,203.60127,26.726925
188.81163024902344,28.587,12_729600_1300500000_3199000000,195.45653,29.499836
280.4981384277344,24.789,12_729600_1300500000_665600000,285.951,23.684525
197.4136428833008,25.3275,12_729600_1134750000_2133000000,202.3698,25.059729
193.5812759399414,26.137,12_729600_1134750000_3199000000,192.6693,27.092194
