epoch,batch_idx,computetime,computetime_ms,log_time
_,28,null,342.10809326171875,270.3982446193695
1,28,null,342.10809326171875,270.3982937335968
_,29,null,340.95281982421875,270.740558385849
1,29,null,340.95281982421875,270.7406084537506
_,30,null,340.8988037109375,271.0832495689392
1,30,null,340.8988037109375,271.083295583725
_,31,null,341.7518005371094,271.4267671108246
1,31,null,341.7518005371094,271.426815032959
_,32,null,341.17120361328125,271.76971459388733
1,32,null,341.17120361328125,271.769761800766
_,33,null,340.5374755859375,272.11159586906433
1,33,null,340.5374755859375,272.1116440296173
_,34,null,340.8230285644531,272.4542260169983
1,34,null,340.8230285644531,272.4542717933655
_,35,null,342.1560974121094,272.7976984977722
1,35,null,342.1560974121094,272.79775309562683
_,36,null,340.7298583984375,273.14004492759705
1,36,null,340.7298583984375,273.14010405540466
_,37,null,340.8783264160156,273.48268461227417
1,37,null,340.8783264160156,273.48273825645447
_,38,null,342.2382507324219,273.8266353607178
1,38,null,342.2382507324219,273.8266866207123
_,39,null,341.1448974609375,274.16900539398193
1,39,null,341.1448974609375,274.1690514087677
_,40,null,340.47796630859375,274.5109496116638
1,40,null,340.47796630859375,274.5109977722168
_,41,null,341.91461181640625,274.8546304702759
1,41,null,341.91461181640625,274.85467863082886
_,42,null,341.713623046875,275.1980254650116
1,42,null,341.713623046875,275.1980776786804
_,43,null,340.91827392578125,275.54040479660034
1,43,null,340.91827392578125,275.5404508113861
_,44,null,340.6539001464844,275.8828423023224
1,44,null,340.6539001464844,275.882887840271
_,45,null,341.25927734375,276.22586584091187
1,45,null,341.25927734375,276.2259123325348
_,46,null,341.148681640625,276.56850028038025
1,46,null,341.148681640625,276.5685520172119
_,47,null,340.88140869140625,276.9109354019165
1,47,null,340.88140869140625,276.91098141670227
_,48,null,341.0585632324219,277.253812789917
1,48,null,341.0585632324219,277.2538592815399
_,49,null,341.19781494140625,277.5966727733612
1,49,null,341.19781494140625,277.59672355651855
_,50,null,340.92108154296875,277.93946290016174
1,50,null,340.92108154296875,277.9395136833191
_,51,null,340.8701477050781,278.281950712204
1,51,null,340.8701477050781,278.2819981575012
_,52,null,340.80255126953125,278.624210357666
1,52,null,340.80255126953125,278.6242620944977
_,53,null,340.5425109863281,278.96621918678284
1,53,null,340.5425109863281,278.96626830101013
_,54,null,340.85888671875,279.3084168434143
1,54,null,340.85888671875,279.3084707260132
_,55,null,341.4049377441406,279.65153217315674
1,55,null,341.4049377441406,279.65158104896545
_,56,null,340.8834533691406,279.99395179748535
1,56,null,340.8834533691406,279.9939968585968
_,57,null,340.96026611328125,280.33646512031555
