power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
45,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
46,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
47,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
48,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
49,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
50,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
10,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
11,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
12,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
13,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
14,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
15,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
16,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
17,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.15,60,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.036905304590861,1.2143182754516602
