powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,26.0,0.0,4.5,4.0,12_2201600_318750000_2133000000,3.428847908973694,16.0,23.697,1.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,27.0,0.0,4.5,4.0,12_2201600_318750000_2133000000,3.428847908973694,16.0,23.697,1.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,28.0,0.0,4.5,4.0,4_1958400_522750000_2133000000,2.804928064346313,16.0,27.708,2.0
12_1036800_522750000_3199000000,130.52982330322266,1.0,29.611,29.0,0.0,4.5,4.0,4_1958400_522750000_2133000000,2.804928064346313,16.0,27.708,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,30.0,0.0,4.5,4.0,4_1958400_522750000_2133000000,2.804928064346313,16.0,27.708,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,31.0,0.0,4.5,4.0,12_1958400_522750000_3199000000,2.722607970237732,16.0,30.413,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,32.0,0.0,4.5,4.0,12_2201600_522750000_3199000000,2.588368058204651,16.0,31.008,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,33.0,0.0,4.5,4.0,12_2201600_522750000_3199000000,2.588368058204651,16.0,31.008,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,34.0,0.0,4.5,4.0,12_2201600_522750000_3199000000,2.588368058204651,16.0,31.008,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,35.0,0.0,4.5,4.0,12_2201600_522750000_3199000000,2.588368058204651,16.0,31.008,2.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,36.0,0.0,4.5,4.0,4_1651200_726750000_3199000000,2.627120018005371,16.0,35.605,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,37.0,0.0,4.5,4.0,4_1651200_726750000_3199000000,2.627120018005371,16.0,35.605,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,38.0,0.0,4.5,4.0,12_2201600_726750000_3199000000,2.2352640628814697,16.0,37.363,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,39.0,0.0,4.5,4.0,12_2201600_726750000_3199000000,2.2352640628814697,16.0,37.363,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,40.0,0.0,4.5,4.0,12_2201600_726750000_3199000000,2.2352640628814697,16.0,37.363,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,41.0,0.0,4.5,4.0,12_2201600_726750000_3199000000,2.2352640628814697,16.0,37.363,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,42.0,0.0,4.5,4.0,12_2201600_726750000_3199000000,2.2352640628814697,16.0,37.363,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,43.0,0.0,4.5,4.0,8_1958400_930750000_3199000000,2.2081120014190674,16.0,42.716,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,44.0,0.0,4.5,4.0,8_1958400_930750000_3199000000,2.2081120014190674,16.0,42.716,3.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,45.0,0.0,4.5,4.0,8_1958400_930750000_3199000000,2.2081120014190674,16.0,42.716,3.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,46.0,1.0,4.5,4.0,8_1958400_930750000_3199000000,2.2081120014190674,16.0,42.716,3.0
8_1958400_930750000_3199000000,543.7320556640625,8.0,45.141,47.0,1.0,4.5,4.0,8_1958400_930750000_3199000000,2.2081120014190674,16.0,42.716,3.0
